2026-05-27 17:32:09 | DEBUG    | browser | Downloaded: GeM-Bidding-9182343.pdf
2026-05-27 17:32:21 | DEBUG    | browser | Filters reset
2026-05-27 17:32:21 | INFO     | browser | Selecting filter: Service Bid/RAs
2026-05-27 17:32:30 | DEBUG    | browser | Downloaded: GeM-Bidding-9220246.pdf
2026-05-27 17:32:37 | DEBUG    | browser | Downloaded: GeM-Bidding-9187501.pdf
2026-05-27 17:32:44 | DEBUG    | browser | Downloaded: GeM-Bidding-9001875.pdf
2026-05-27 17:32:50 | DEBUG    | browser | Downloaded: GeM-Bidding-8811625.pdf
2026-05-27 17:32:56 | DEBUG    | browser | Downloaded: GeM-Bidding-8935733.pdf
2026-05-27 17:33:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9095342.pdf
2026-05-27 17:33:12 | DEBUG    | browser | Downloaded: GeM-Bidding-9189730.pdf
2026-05-27 17:33:19 | DEBUG    | browser | Downloaded: GeM-Bidding-8979674.pdf
2026-05-27 17:33:27 | DEBUG    | browser | Downloaded: GeM-Bidding-9086944.pdf
2026-05-27 17:33:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9236532.pdf
2026-05-27 17:33:50 | DEBUG    | browser | Filters reset
2026-05-27 17:33:50 | INFO     | browser | Selecting filter: Bid To RAs
2026-05-27 17:34:00 | DEBUG    | browser | Downloaded: GeM-Bidding-9262134.pdf
2026-05-27 17:34:13 | DEBUG    | browser | Downloaded: GeM-Bidding-9259503.pdf
2026-05-27 17:34:21 | DEBUG    | browser | Downloaded: GeM-Bidding-9134845.pdf
2026-05-27 17:34:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9222820.pdf
2026-05-27 17:34:40 | DEBUG    | browser | Downloaded: GeM-Bidding-9190888.pdf
2026-05-27 17:34:47 | DEBUG    | browser | Downloaded: GeM-Bidding-8081022.pdf
2026-05-27 17:34:54 | DEBUG    | browser | Downloaded: GeM-Bidding-8758864.pdf
2026-05-27 17:35:03 | DEBUG    | browser | Downloaded: GeM-Bidding-8722719.pdf
2026-05-27 17:35:17 | DEBUG    | browser | Downloaded: GeM-Bidding-9291160.pdf
2026-05-27 17:35:26 | DEBUG    | browser | Downloaded: GeM-Bidding-9191840.pdf
2026-05-27 17:35:42 | DEBUG    | browser | Filters reset
2026-05-27 17:35:42 | INFO     | browser | Selecting filter: Product Custom Bid/RAs
2026-05-27 17:35:51 | DEBUG    | browser | Downloaded: GeM-Bidding-8893596.pdf
2026-05-27 17:36:03 | DEBUG    | browser | Downloaded: GeM-Bidding-8869323.pdf
2026-05-27 17:36:15 | DEBUG    | browser | Downloaded: GeM-Bidding-8760396.pdf
2026-05-27 17:36:33 | DEBUG    | browser | Downloaded: GeM-Bidding-9243421.pdf
2026-05-27 17:36:41 | DEBUG    | browser | Downloaded: GeM-Bidding-9240187.pdf
2026-05-27 17:36:51 | DEBUG    | browser | Downloaded: GeM-Bidding-9237412.pdf
2026-05-27 17:36:59 | DEBUG    | browser | Downloaded: GeM-Bidding-9212936.pdf
2026-05-27 17:37:10 | DEBUG    | browser | Downloaded: GeM-Bidding-9207011.pdf
2026-05-27 17:37:18 | DEBUG    | browser | Downloaded: GeM-Bidding-9111050.pdf
2026-05-27 17:37:31 | DEBUG    | browser | Downloaded: GeM-Bidding-9293307.pdf
2026-05-27 17:37:43 | DEBUG    | browser | Filters reset
2026-05-27 17:37:43 | INFO     | browser | Selecting filter: BOQ Bids
2026-05-27 17:37:51 | DEBUG    | browser | Downloaded: GeM-Bidding-9160880.pdf
2026-05-27 17:38:16 | DEBUG    | browser | Downloaded: GeM-Bidding-9088002.pdf
2026-05-27 17:38:32 | DEBUG    | browser | Downloaded: GeM-Bidding-9289486.pdf
2026-05-27 17:38:41 | DEBUG    | browser | Downloaded: GeM-Bidding-9285307.pdf
2026-05-27 17:38:52 | DEBUG    | browser | Downloaded: GeM-Bidding-9209758.pdf
2026-05-27 17:39:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9107749.pdf
2026-05-27 17:39:11 | DEBUG    | browser | Downloaded: GeM-Bidding-9280525.pdf
2026-05-27 17:39:47 | DEBUG    | browser | Downloaded: GeM-Bidding-9331493.pdf
2026-05-27 17:40:00 | DEBUG    | browser | Downloaded: GeM-Bidding-9320374.pdf
2026-05-27 17:40:16 | DEBUG    | browser | Downloaded: GeM-Bidding-9293742.pdf
2026-05-27 17:40:28 | DEBUG    | browser | Filters reset
2026-05-27 17:40:28 | INFO     | browser | Selecting filter: Rate Contract Bids
2026-05-27 17:40:38 | DEBUG    | browser | Downloaded: GeM-Bidding-9271791.pdf
2026-05-27 17:40:46 | DEBUG    | browser | Downloaded: GeM-Bidding-9301536.pdf
2026-05-27 17:41:02 | DEBUG    | browser | Downloaded: GeM-Bidding-9314303.pdf
2026-05-27 17:41:11 | DEBUG    | browser | Downloaded: GeM-Bidding-9313859.pdf
2026-05-27 17:41:22 | DEBUG    | browser | Downloaded: GeM-Bidding-9321309.pdf
2026-05-27 17:41:35 | DEBUG    | browser | Downloaded: GeM-Bidding-9333908.pdf
2026-05-27 17:41:45 | DEBUG    | browser | Downloaded: GeM-Bidding-9246838.pdf
2026-05-27 17:41:54 | DEBUG    | browser | Downloaded: GeM-Bidding-9280824.pdf
2026-05-27 17:42:03 | DEBUG    | browser | Downloaded: GeM-Bidding-9260934.pdf
2026-05-27 17:42:14 | DEBUG    | browser | Downloaded: GeM-Bidding-9262054.pdf
