2026-05-27 10:32:20 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7488203
2026-05-27 10:32:22 | DEBUG    | vector_store | Upserted 66 chunks for GEM/2026/B/7509634
2026-05-27 10:32:23 | DEBUG    | vector_store | Upserted 27 chunks for GEM/2026/B/7509230
2026-05-27 10:32:24 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7479083
2026-05-27 10:32:25 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7514614
2026-05-27 10:32:26 | DEBUG    | vector_store | Upserted 54 chunks for GEM/2026/B/7506622
2026-05-27 10:32:26 | INFO     | vector_store |   Indexed 40/89
2026-05-27 10:32:27 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7501124
2026-05-27 10:32:28 | DEBUG    | vector_store | Upserted 46 chunks for GEM/2026/B/7492610
2026-05-27 10:32:29 | DEBUG    | vector_store | Upserted 43 chunks for GEM/2026/B/7494843
2026-05-27 10:32:30 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7497122
2026-05-27 10:32:33 | DEBUG    | vector_store | Upserted 138 chunks for GEM/2026/B/7499633
2026-05-27 10:32:35 | DEBUG    | vector_store | Upserted 44 chunks for GEM/2026/B/7501045
2026-05-27 10:32:35 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7510269
2026-05-27 10:32:36 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7514716
2026-05-27 10:32:37 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7514898
2026-05-27 10:32:38 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2026/B/7498190
2026-05-27 10:32:38 | INFO     | vector_store |   Indexed 50/89
2026-05-27 10:32:39 | DEBUG    | vector_store | Upserted 53 chunks for GEM/2026/B/7500220
2026-05-27 10:32:40 | DEBUG    | vector_store | Upserted 29 chunks for GEM/2026/B/7500250
2026-05-27 10:32:41 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7501435
2026-05-27 10:32:42 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7501521
2026-05-27 10:32:43 | DEBUG    | vector_store | Upserted 37 chunks for GEM/2026/B/7502651
2026-05-27 10:32:44 | DEBUG    | vector_store | Upserted 36 chunks for GEM/2026/B/7503109
2026-05-27 10:32:44 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504206
2026-05-27 10:32:45 | DEBUG    | vector_store | Upserted 26 chunks for GEM/2026/B/7504365
2026-05-27 10:32:46 | DEBUG    | vector_store | Upserted 34 chunks for GEM/2025/B/6812056
2026-05-27 10:32:47 | DEBUG    | vector_store | Upserted 32 chunks for GEM/2026/B/7461528
2026-05-27 10:32:47 | INFO     | vector_store |   Indexed 60/89
2026-05-27 10:32:48 | DEBUG    | vector_store | Upserted 31 chunks for GEM/2026/B/7485827
2026-05-27 10:32:49 | DEBUG    | vector_store | Upserted 47 chunks for GEM/2026/B/7268255
2026-05-27 10:32:51 | DEBUG    | vector_store | Upserted 62 chunks for GEM/2025/B/6937012
2026-05-27 10:32:53 | DEBUG    | vector_store | Upserted 66 chunks for GEM/2026/B/7417029
2026-05-27 10:32:54 | DEBUG    | vector_store | Upserted 50 chunks for GEM/2026/B/7513146
2026-05-27 10:32:55 | DEBUG    | vector_store | Upserted 38 chunks for GEM/2026/B/7432560
2026-05-27 10:32:59 | DEBUG    | vector_store | Upserted 161 chunks for GEM/2026/B/7382732
2026-05-27 10:33:00 | DEBUG    | vector_store | Upserted 39 chunks for GEM/2026/B/7523628
2026-05-27 10:33:01 | DEBUG    | vector_store | Upserted 48 chunks for GEM/2026/B/7482709
2026-05-27 10:33:02 | DEBUG    | vector_store | Upserted 30 chunks for GEM/2026/B/7460256
